id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50730471,Cathedral Heights by StayBC,176181147,StayBC,,Hotwells & Harbourside,51.45208,-2.60349,Entire home/apt,142,2,8,2021/9/20,2.4,15,330,8,
50730699,Clifton Crypt by StayBC,176181147,StayBC,,Clifton,51.4552,-2.62095,Entire home/apt,152,2,10,2021/10/8,2.83,15,358,10,
50741927,Contemporary Large 2 Bedroom Apartment with Parking,65192629,Hopewell,,Southville,51.4451,-2.60521,Entire home/apt,180,1,12,2021/9/12,4.34,141,310,12,
50744938,"Clifton Mewsing ï¿½ï¿½ï¿½ with garage, balcony & cou",150376371,Sophie,,Clifton,51.45639,-2.62204,Entire home/apt,180,3,2,2021/10/5,1.67,1,179,2,
50749594,Clean and comfortable room in east Bristol,405625158,Teresa,,Lawrence Hill,51.45491,-2.56109,Private room,26,1,35,2021/10/13,9.38,1,56,35,
50800352,City centre Stunning large one bed flat just fab,410588887,Lou,,Ashley,51.45938,-2.58766,Entire home/apt,70,2,1,2021/9/20,0.83,3,298,1,
50825278,Fishponds Pondarosa,382836301,Dave,,Eastville,51.47372,-2.54701,Entire home/apt,170,2,0,,,4,35,0,
50829147,Light and airy double en-suite loft room,410897425,Allison,,Easton,51.46047,-2.55998,Private room,42,2,1,2021/8/1,0.35,1,0,1,
50830723,Comfy place,5567174,Nigit,,Frome Vale,51.48296,-2.5352,Private room,55,1,0,,,2,25,0,
50831157,Brandon Hill Villa by StayBC,176181147,StayBC,,Hotwells & Harbourside,51.452,-2.60354,Entire home/apt,133,2,7,2021/9/26,2,15,348,7,
50837328,Spacious 1 bed flat  close to the Gloucester Road,5698765,Helen,,Redland,51.47843,-2.59581,Entire home/apt,75,2,13,2021/10/24,4.53,1,321,13,
50865150,Grand & Graceful One Bed Flat in Clifton Village,411241737,Tim,,Clifton,51.45653,-2.61356,Entire home/apt,89,1,12,2021/10/17,4.56,1,15,12,
